10	x	y	xelow	xeup	yelow	yeup
93	860502.9	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
94	1.29E+006	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
95	1.94E+006	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
96	2.90E+006	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
97	4.36E+006	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
98	6.53E+006	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
99	9.80E+006	8.76E-005	0.00E+000	0.00E+000	0.00E+000	0.00E+000
100	1.47E+007	6.44E-005	0.00E+000	0.00E+000	0.00E+000	0.00E+000
101	2.21E+007	4.69E-005	0.00E+000	0.00E+000	0.00E+000	0.00E+000
102	3.31E+007	3.40E-005	0.00E+000	0.00E+000	0.00E+000	0.00E+000
103	4.96E+007	2.51E-005	0.00E+000	0.00E+000	0.00E+000	0.00E+000
104	7.44E+007	1.95E-005	0.00E+000	0.00E+000	0.00E+000	0.00E+000
105	1.12E+008	1.36E-005	0.00E+000	0.00E+000	0.00E+000	0.00E+000
106	1.67E+008	9.09E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
107	2.51E+008	5.77E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
108	3.77E+008	3.29E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
109	5.65E+008	1.83E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
110	8.48E+008	1.06E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
111	1.27E+009	6.28E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
112	1.91E+009	3.76E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
113	2.86E+009	2.24E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
114	4.29E+009	1.30E-007	0.00E+000	0.00E+000	0.00E+000	0.00E+000
115	6.44E+009	7.62E-008	0.00E+000	0.00E+000	0.00E+000	0.00E+000
116	9.66E+009	4.27E-008	0.00E+000	0.00E+000	0.00E+000	0.00E+000
117	1.45E+010	2.36E-008	0.00E+000	0.00E+000	0.00E+000	0.00E+000
118	2.17E+010	1.29E-008	0.00E+000	0.00E+000	0.00E+000	0.00E+000
119	3.26E+010	6.70E-009	0.00E+000	0.00E+000	0.00E+000	0.00E+000
120	4.89E+010	3.06E-009	0.00E+000	0.00E+000	0.00E+000	0.00E+000
121	7.33E+010	1.22E-009	0.00E+000	0.00E+000	0.00E+000	0.00E+000
122	1.10E+011	3.76E-010	0.00E+000	0.00E+000	0.00E+000	0.00E+000
123	1.65E+011	2.77E-011	0.00E+000	0.00E+000	0.00E+000	0.00E+000
124	2.48E+011	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
125	3.71E+011	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
126	5.57E+011	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
127	8.35E+011	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
128	1.25E+012	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
129	1.88E+012	0.46	0.00E+000	0.00E+000	0.00E+000	0.00E+000
130	2.82E+012	0.45	0.00E+000	0.00E+000	0.00E+000	0.00E+000
131	4.23E+012	0.45	0.00E+000	0.00E+000	0.00E+000	0.00E+000
