tim_000.dat
tim_001.dat
tim_002.dat
2 2	141 11 960027	143 65 960045
2 2	141 11 960027	144 78 960060
2 2	141 11 960027	144 88 960046
2 2	142 33 960052	143 50 960043
2 2	142 33 960052	143 65 960045
2 2	142 33 960052	144 78 960060
2 2	142 33 960052	144 88 960046
2 2	143 50 960043	143 65 960045
2 2	143 50 960043	144 78 960060
2 2	143 50 960043	144 88 960046
2 2	143 65 960045	144 78 960060
2 2	143 65 960045	144 88 960046
2 2	144 78 960060	144 88 960046
2 2	250 141 352958	251 153 352607
2 2	250 141 352958	252 164 352768
2 2	252 121 352069	251 133 351943
2 2	251 153 352607	252 164 352768
tim_025.dat
tim_026.dat
tim_027.dat
tim_028.dat
tim_029.dat
2 2	2 118 960033	4 198 959938
2 2	2 118 960033	5 226 960020
2 2	4 198 959938	5 226 960020
tim_030.dat
2 2	17 79 960048	21 212 960048
2 2	235 185 594616	236 212 594417
2 2	236 212 594417	236 224 593945
2 2	236 224 593945	236 236 593560
2 2	236 224 593945	236 241 593725
2 2	236 224 593945	236 249 593500
2 2	236 236 593560	236 241 593725
2 2	236 236 593560	236 249 593500
2 2	236 241 593725	236 249 593500
2 2	243 52 947576	249 222 947583
1 2	101 123 679500	98 151 679226
tim_031.dat
2 2	84 99 259846	91 208 260299
tim_032.dat
2 2	91 27 68278.4	97 146 68126.3
2 2	91 27 68278.4	100 205 68715.9
2 2	93 62 67187.5	97 135 67063.6
2 2	93 69 66471.4	96 121 66537.5
2 2	93 69 66471.4	98 154 66400
2 2	96 121 66537.5	98 154 66400
tim_033.dat
2 2	56 115 39375	56 125 39188.9
2 2	56 115 39375	57 136 39835
tim_034.dat
2 2	125 45 292918	131 240 293283
2 2	132 175 293470	131 240 293283
tim_035.dat
2 2	61 146 610012	196 32 609564
tim_036.dat
1 1	18 246 512567	75 117 512575
2 2	91 11 960033	91 24 960025
2 2	91 11 960033	91 32 960040
2 2	91 11 960033	91 40 960025
2 2	91 11 960033	92 58 960050
2 2	91 11 960033	92 73 960033
2 2	91 24 960025	91 32 960040
2 2	91 24 960025	91 40 960025
2 2	91 24 960025	92 58 960050
2 2	91 24 960025	92 73 960033
2 2	91 32 960040	91 40 960025
2 2	91 32 960040	92 58 960050
2 2	91 32 960040	92 73 960033
2 2	91 40 960025	92 58 960050
2 2	91 40 960025	92 73 960033
2 2	92 58 960050	92 73 960033
tim_037.dat
2 2	35 116 408874	36 139 408378
2 2	36 125 408300	36 139 408378
2 2	36 125 408300	37 163 408148
2 2	36 125 408300	38 173 408275
2 2	36 125 408300	39 184 408100
2 2	36 139 408378	37 163 408148
2 2	36 139 408378	38 173 408275
2 2	36 139 408378	39 184 408100
2 2	37 163 408148	38 173 408275
2 2	37 163 408148	39 184 408100
2 2	38 173 408275	39 184 408100
2 2	38 178 406775	39 193 407050
2 2	230 51 960007	231 113 959990
2 2	230 51 960007	233 160 960019
2 2	230 51 960007	232 128 959976
2 2	230 51 960007	233 189 959962
2 2	230 51 960007	233 208 960004
2 2	230 51 960007	234 232 960008
2 2	230 51 960007	235 250 960000
2 2	230 51 960007	241 193 960000
2 2	231 113 959990	233 160 960019
2 2	231 113 959990	232 128 959976
2 2	231 113 959990	233 189 959962
2 2	231 113 959990	233 208 960004
2 2	231 113 959990	234 232 960008
2 2	231 113 959990	235 250 960000
2 2	231 113 959990	241 193 960000
2 2	233 160 960019	232 128 959976
2 2	233 160 960019	233 189 959962
2 2	233 160 960019	233 208 960004
2 2	233 160 960019	234 232 960008
2 2	233 160 960019	235 250 960000
2 2	233 160 960019	241 193 960000
2 2	232 128 959976	233 189 959962
2 2	232 128 959976	233 208 960004
2 2	232 128 959976	234 232 960008
2 2	232 128 959976	235 250 960000
2 2	232 128 959976	241 193 960000
2 2	233 189 959962	233 208 960004
2 2	233 189 959962	234 232 960008
2 2	233 189 959962	235 250 960000
2 2	233 189 959962	241 193 960000
2 2	233 208 960004	234 232 960008
2 2	233 208 960004	235 250 960000
2 2	233 208 960004	241 193 960000
2 2	234 232 960008	235 250 960000
2 2	234 232 960008	241 193 960000
2 2	235 250 960000	241 193 960000
tim_038.dat
2 2	235 169 959908	235 44 960010
2 2	235 169 959908	235 75 959941
2 2	235 169 959908	235 97 959900
2 2	235 169 959908	235 112 959933
2 2	235 169 959908	235 123 959880
2 2	235 169 959908	235 185 959875
2 2	235 169 959908	236 8 960038
2 2	235 169 959908	235 25 959950
2 2	235 169 959908	235 34 960014
2 2	235 169 959908	235 57 959960
2 2	235 169 959908	236 196 959938
2 2	235 44 960010	235 75 959941
2 2	235 44 960010	235 97 959900
2 2	235 44 960010	235 112 959933
2 2	235 44 960010	235 123 959880
2 2	235 44 960010	235 185 959875
2 2	235 44 960010	236 8 960038
2 2	235 44 960010	235 25 959950
2 2	235 44 960010	235 34 960014
2 2	235 44 960010	235 57 959960
2 2	235 44 960010	236 196 959938
2 2	235 75 959941	235 97 959900
2 2	235 75 959941	235 112 959933
2 2	235 75 959941	235 123 959880
2 2	235 75 959941	235 185 959875
2 2	235 75 959941	236 8 960038
2 2	235 75 959941	235 25 959950
2 2	235 75 959941	235 34 960014
2 2	235 75 959941	235 57 959960
2 2	235 75 959941	236 196 959938
2 2	235 97 959900	235 112 959933
2 2	235 97 959900	235 123 959880
2 2	235 97 959900	235 185 959875
2 2	235 97 959900	236 8 960038
2 2	235 97 959900	235 25 959950
2 2	235 97 959900	235 34 960014
2 2	235 97 959900	235 57 959960
2 2	235 97 959900	236 196 959938
2 2	235 112 959933	235 123 959880
2 2	235 112 959933	235 185 959875
2 2	235 112 959933	236 8 960038
2 2	235 112 959933	235 25 959950
2 2	235 112 959933	235 34 960014
2 2	235 112 959933	235 57 959960
2 2	235 112 959933	236 196 959938
2 2	235 123 959880	235 185 959875
2 2	235 123 959880	236 8 960038
2 2	235 123 959880	235 25 959950
2 2	235 123 959880	235 34 960014
2 2	235 123 959880	235 57 959960
2 2	235 123 959880	236 196 959938
2 2	235 185 959875	236 8 960038
2 2	235 185 959875	235 25 959950
2 2	235 185 959875	235 34 960014
2 2	235 185 959875	235 57 959960
2 2	235 185 959875	236 196 959938
2 2	236 8 960038	235 25 959950
2 2	236 8 960038	235 34 960014
2 2	236 8 960038	235 57 959960
2 2	236 8 960038	236 196 959938
2 2	235 25 959950	235 34 960014
2 2	235 25 959950	235 57 959960
2 2	235 25 959950	236 196 959938
2 2	235 34 960014	235 57 959960
2 2	235 34 960014	236 196 959938
2 2	235 57 959960	236 196 959938
tim_039.dat
2 2	220 13 959975	221 82 959988
2 2	220 13 959975	220 25 959942
2 2	220 13 959975	221 42 960000
2 2	220 13 959975	224 86 959950
2 2	220 13 959975	224 92 959900
2 2	220 13 959975	227 145 959900
2 2	220 13 959975	230 222 959933
2 2	221 82 959988	220 25 959942
2 2	221 82 959988	221 42 960000
2 2	221 82 959988	224 86 959950
2 2	221 82 959988	224 92 959900
2 2	221 82 959988	227 145 959900
2 2	221 82 959988	230 222 959933
2 2	220 25 959942	221 42 960000
2 2	220 25 959942	224 86 959950
2 2	220 25 959942	224 92 959900
2 2	220 25 959942	227 145 959900
2 2	220 25 959942	230 222 959933
2 2	221 42 960000	224 86 959950
2 2	221 42 960000	224 92 959900
2 2	221 42 960000	227 145 959900
2 2	221 42 960000	230 222 959933
2 2	224 86 959950	224 92 959900
2 2	224 86 959950	227 145 959900
2 2	224 86 959950	230 222 959933
2 2	224 92 959900	227 145 959900
2 2	224 92 959900	230 222 959933
2 2	227 145 959900	230 222 959933
tim_040.dat
1 1	2 240 200820	24 213 200800
1 1	17 196 649517	109 91 649417
1 1	67 161 942371	159 191 942200
1 1	122 89 694600	239 166 694600
2 2	4 101 632986	9 225 633258
2 2	4 101 632986	9 215 633075
2 2	9 208 633572	9 225 633258
2 2	9 208 633572	9 215 633075
2 2	9 225 633258	9 215 633075
2 2	61 136 597571	61 149 597300
2 2	75 92 639829	75 102 639667
2 2	87 182 510800	87 197 510357
2 2	199 80 196467	199 85 196620
2 2	199 80 196467	201 139 196762
2 2	199 85 196620	201 139 196762
2 2	199 85 196620	204 215 197050
2 2	199 95 197956	203 196 197622
2 2	199 95 197956	204 209 198112
2 2	199 95 197956	205 251 198012
2 2	201 139 196762	204 215 197050
2 2	203 184 197375	203 196 197622
2 2	203 184 197375	204 215 197050
2 2	203 196 197622	204 209 198112
2 2	203 196 197622	205 251 198012
2 2	204 209 198112	205 251 198012
2 2	228 120 266240	229 129 266571
2 2	232 116 193050	232 128 192646
2 2	232 116 193050	233 189 193073
2 2	232 128 192646	232 153 192517
2 2	232 128 192646	233 189 193073
2 2	233 189 193073	233 250 193555
2 2	233 242 194000	233 250 193555
2 2	238 175 138058	238 210 137800
2 2	238 175 138058	238 242 137852
2 2	238 210 137800	238 242 137852
tim_041.dat
1 1	18 207 269725	104 30 269875
1 1	27 32 319200	156 127 319075
1 1	233 232 867618	240 90 867638
2 2	2 229 22300	2 237 22050
2 2	130 15 368580	131 30 368833
1 2	26 221 97216.7	232 127 97380
tim_042.dat
1 1	22 77 586131	147 38 586433
2 2	22 92 783079	23 114 783075
2 2	113 98 909707	113 112 909546
2 2	154 17 20310	154 28 19952.6
2 2	208 5 407346	208 19 407490
2 2	212 143 289407	212 158 289114
2 2	212 143 289407	213 185 289080
2 2	212 143 289407	214 239 288960
2 2	212 158 289114	212 152 288675
2 2	212 158 289114	213 178 288729
2 2	212 158 289114	213 185 289080
2 2	212 158 289114	214 239 288960
2 2	212 152 288675	213 178 288729
2 2	212 152 288675	213 185 289080
2 2	212 152 288675	214 239 288960
2 2	213 178 288729	213 185 289080
2 2	213 178 288729	214 239 288960
2 2	213 185 289080	214 239 288960
2 2	222 19 347829	222 32 347468
2 2	222 19 347829	222 50 347813
2 2	222 32 347468	222 50 347813
2 2	222 32 347468	223 66 347100
1 2	23 216 911956	164 32 911600
tim_043.dat
1 1	216 88 603000	217 129 603250
2 2	0 148 760383	1 166 760229
2 2	17 218 943075	102 178 943075
2 2	54 8 574600	140 120 574568
2 2	93 9 627935	96 101 628246
2 2	171 131 613180	172 231 613200
2 2	180 41 571380	186 194 571050
2 2	180 41 571380	186 205 571453
2 2	180 41 571380	186 215 571420
2 2	186 194 571050	186 205 571453
2 2	186 194 571050	186 215 571420
2 2	186 205 571453	186 215 571420
2 2	193 244 808225	193 253 807840
2 2	206 153 472700	208 186 472280
2 2	206 153 472700	208 199 472625
2 2	206 153 472700	208 215 472750
2 2	208 186 472280	208 199 472625
2 2	208 186 472280	208 215 472750
2 2	208 199 472625	208 215 472750
2 2	208 3 628829	209 12 628820
2 2	223 147 440777	224 154 440850
2 2	224 154 440850	224 168 441327
2 2	240 135 740950	242 188 740500
2 2	242 188 740500	242 194 740100
1 2	91 244 448267	52 173 448478
1 2	136 110 791500	104 70 791600
tim_044.dat
1 1	0 91 663700	58 107 663700
2 2	59 185 750755	61 218 751020
2 2	89 26 392620	90 33 392550
2 2	89 26 392620	90 43 392587
2 2	90 33 392550	90 43 392587
2 2	91 72 393316	160 105 393400
2 2	159 120 283750	160 205 284050
2 2	159 120 283750	160 222 284037
2 2	160 205 284050	160 222 284037
2 2	202 81 944257	203 205 944650
2 2	202 155 943260	203 238 943467
2 2	203 212 941457	204 248 941800
2 2	203 212 941457	204 253 941750
2 2	204 248 941800	204 253 941750
2 2	245 151 806753	245 164 806500
2 2	245 151 806753	246 175 806300
2 2	245 151 806753	246 182 806283
2 2	245 151 806753	250 231 807000
2 2	245 164 806500	246 175 806300
2 2	245 164 806500	246 182 806283
2 2	245 164 806500	250 231 807000
2 2	246 175 806300	246 182 806283
1 2	0 91 663700	245 73 663946
1 2	58 107 663700	245 73 663946
1 2	112 245 530011	175 131 529683
1 2	203 149 572575	145 147 572516
tim_045.dat
1 1	56 57 819840	185 225 819417
