tim_000.dat
tim_001.dat
tim_002.dat
tim_003.dat
tim_004.dat
tim_005.dat
tim_006.dat
tim_007.dat
1 2	30 171 790940	40 212 790851
tim_008.dat
tim_009.dat
tim_010.dat
tim_011.dat
tim_012.dat
tim_013.dat
tim_014.dat
tim_015.dat
tim_016.dat
tim_017.dat
tim_018.dat
tim_019.dat
tim_020.dat
tim_021.dat
tim_022.dat
tim_023.dat
tim_024.dat
tim_025.dat
tim_026.dat
1 2	6 60 502100	164 134 502564
1 2	12 75 733771	194 19 734175
1 2	12 75 733771	194 29 734233
1 2	19 197 263433	33 52 263547
1 2	188 255 387075	210 204 387177
1 2	188 255 387075	211 217 386775
tim_080.dat
1 1	3 88 850	175 182 880
1 2	23 209 858231	245 239 857783
1 2	62 108 50750	70 137 50675
1 2	230 39 960000	43 183 960043
tim_081.dat
1 1	129 88 540425	132 33 540517
1 1	129 88 540425	220 11 540340
1 1	132 33 540517	220 11 540340
1 1	248 14 239700	254 87 239600
1 2	189 92 10225	52 1 10325
1 2	247 235 148978	226 101 149350
tim_082.dat
1 1	50 242 209133	106 112 209214
1 1	175 29 631088	183 59 631200
1 2	131 89 788456	33 71 788036
1 2	164 248 592025	117 130 592235
tim_083.dat
1 1	193 66 399310	229 18 399275
tim_084.dat
1 1	47 232 672411	105 150 672483
1 1	61 131 780114	231 64 780000
1 1	173 103 805080	220 53 804938
1 1	216 154 621550	232 154 621538
1 2	208 65 370850	232 20 371179
1 2	254 30 546455	161 218 546017
tim_085.dat
1 2	164 175 814125	189 102 814275
tim_086.dat
1 2	62 36 113800	64 194 114075
1 2	94 133 463838	221 125 464018
tim_087.dat
1 1	15 44 586000	199 241 586112
1 2	25 14 523000	195 40 522600
1 2	73 44 754800	109 252 754500
1 2	189 153 939825	3 66 939343
tim_088.dat
tim_089.dat
tim_090.dat
tim_091.dat
tim_092.dat
1 1	44 103 754125	235 26 754133
1 1	107 249 136275	182 215 136340
1 2	254 251 960043	47 197 960050
1 2	254 251 960043	153 105 960050
tim_093.dat
1 2	106 42 98100	88 99 98014.3
tim_094.dat
1 1	23 107 369067	247 121 369013
1 2	233 113 579062	139 35 579200
tim_095.dat
1 1	2 155 552089	106 130 552000
1 1	19 134 126850	89 44 126879
1 1	20 212 711275	144 73 711300
1 1	53 116 772914	225 187 772725
1 1	58 38 319550	168 236 319616
1 2	111 156 540717	234 191 540640
1 2	151 112 960050	148 185 960050
tim_096.dat
tim_097.dat
1 1	21 233 514467	236 209 514912
1 1	27 85 887275	64 220 887300
1 1	43 235 190560	160 250 190525
1 1	116 2 228078	252 206 228000
1 1	127 111 763550	132 8 763588
1 2	128 119 372850	236 75 372950
tim_098.dat
1 1	84 63 645025	175 102 644983
1 2	65 212 119675	44 153 119238
1 2	102 6 58600	38 100 58866.7
tim_099.dat
1 2	66 9 359860	45 163 359625
1 2	186 25 522482	166 132 522742
1 2	231 85 69240	168 4 68812.5
tim_100.dat
1 1	132 26 568817	137 111 568783
1 1	146 122 410538	228 207 410900
tim_101.dat
tim_102.dat
1 1	28 199 834283	30 239 834400
1 1	76 72 97083.3	150 152 96887.5
1 1	124 52 836507	221 43 836700
1 2	81 176 573960	34 192 574460
tim_103.dat
1 1	0 125 471400	179 216 471525
1 1	113 155 609425	217 234 609220
1 1	161 41 246700	163 8 246558
1 1	205 75 620680	210 62 620625
1 2	248 59 662217	151 34 662425
tim_104.dat
1 2	225 222 780625	196 41 780762
tim_105.dat
tim_106.dat
tim_107.dat
tim_108.dat
tim_109.dat
tim_110.dat
1 2	65 84 738536	20 202 738425
tim_111.dat
1 1	34 187 826733	101 231 826522
1 1	34 250 75270	236 216 75284.6
1 1	130 189 178757	194 249 178293
1 2	68 71 445900	83 133 445775
1 2	166 194 494800	156 157 494540
tim_112.dat
1 1	48 230 513520	241 157 513525
1 2	99 72 594629	62 87 594529
tim_113.dat
1 1	57 227 744880	192 195 745300
1 2	131 204 617700	32 117 617842
tim_114.dat
1 1	152 195 593767	206 58 593850
tim_115.dat
1 1	122 221 735981	208 202 735900
1 1	137 141 895671	139 110 895175
1 2	122 221 735981	17 119 735969
1 2	137 141 895671	67 88 895868
1 2	208 202 735900	17 119 735969
tim_116.dat
tim_117.dat
1 1	13 164 687362	27 169 687240
1 1	156 20 769300	165 155 769325
1 2	93 28 706133	64 11 706389
1 2	122 33 673750	64 51 674022
1 2	163 197 651150	91 127 651238
1 2	176 170 324640	94 33 324357
1 2	241 201 860134	73 9 859931
tim_118.dat
1 1	134 12 689583	212 95 689675
1 2	4 85 109414	243 193 109314
1 2	146 155 327822	225 29 327385
1 2	176 15 452250	220 44 451900
1 2	183 12 960071	7 157 960025
1 2	183 12 960071	49 12 959925
1 2	183 12 960071	49 21 959993
1 2	183 12 960071	49 40 959983
1 2	183 12 960071	51 113 959975
1 2	183 12 960071	50 118 959933
1 2	183 12 960071	51 137 960007
1 2	183 12 960071	51 147 960000
1 2	201 244 614950	169 145 615420
tim_119.dat
1 2	43 46 714025	122 107 714043
